#{"t_start": 1711371070.8182018, "env_id": "None"}
r,l,t
220.0,701,2667.077923
280.0,892,2669.51529
380.0,1023,2672.276736
140.0,694,2673.933076
180.0,598,2675.476364
380.0,1111,2678.312715
300.0,959,2680.871938
360.0,1066,2683.423684
260.0,863,2685.822214
400.0,1227,2688.769133
400.0,1116,2691.726452
500.0,1389,2695.149468
300.0,839,2697.333487
300.0,873,2699.402789
440.0,1241,2702.347191
500.0,1339,2705.832218
500.0,1390,2709.116298
400.0,1210,2712.264694
640.0,1690,2716.621719
340.0,1054,2719.303482
600.0,1623,2723.377919
560.0,1471,2727.060893
340.0,1027,2729.756281
420.0,1303,2733.054586
